id,name,code,parent_id/id,type,user_type/id,reconcile
530700,Management Bonus,530700,530000,Regular,account.data_account_type_expense,FALSE
530800,Professional Fees,530800,530000,Regular,account.data_account_type_expense,FALSE
530900,Rent,530900,530000,Regular,account.data_account_type_expense,FALSE
531000,Advertising,531000,530000,Regular,account.data_account_type_expense,FALSE
531100,Social Security,531100,530000,Regular,account.data_account_type_expense,FALSE
531200,Taxes and License,531200,530000,Regular,account.data_account_type_expense,FALSE
531300,Other Administrative Expense,531300,530000,Regular,account.data_account_type_expense,FALSE
540000,General Expense,540000,500000,View,account.account_type_expense_view1,FALSE
540100,Repairs and Maintenance,540100,540000,Regular,account.data_account_type_expense,FALSE
540200,Entertainment and Recreation,540200,540000,Regular,account.data_account_type_expense,FALSE
540300,Penalties and Fine,540300,540000,Regular,account.data_account_type_expense,FALSE
540400,Cash over and Short,540400,540000,Regular,account.data_account_type_expense,FALSE
540500,Bad Debt Expense,540500,540000,Regular,account.data_account_type_expense,FALSE
550000,Depreciation and Amortization,550000,500000,View,account.account_type_expense_view1,FALSE
550100,depreciation Expense - Building,550100,550000,Regular,account.data_account_type_expense,FALSE
550200,Depreciation Expense - Vehicle,550200,550000,Regular,account.data_account_type_expense,FALSE
550300,Depreciation Expense - Other PP&E,550300,550000,Regular,account.data_account_type_expense,FALSE
560000,Impairment loss,560000,500000,View,account.account_type_expense_view1,FALSE
560100,Impairment Losses Investment,560100,560000,Regular,account.data_account_type_expense,FALSE
560200,Impairment Losses Inventory,560200,560000,Regular,account.data_account_type_expense,FALSE
560300,Impairment Losses PP&E,560300,560000,Regular,account.data_account_type_expense,FALSE
570000,Interest Expense,570000,500000,Regular,account.data_account_type_expense,FALSE
580000,Miscellaneous Expense,580000,500000,Regular,account.data_account_type_expense,FALSE
590000,Tax,590000,500000,Regular,account.data_account_type_expense,FALSE
