description	chart_template_id:id	type_tax_use	name	type	amount	account_collected_id:id	account_paid_id:id	base_code_id:id	tax_code_id:id	ref_base_code_id:id	ref_tax_code_id:id	tax_sign	base_sign	ref_base_sign	ref_tax_sign	parent_id:id
	chart	purchase	Input VAT	percent	0.07	a_input_vat	a_input_vat	Input Tax Base	Input Tax			1	1	1	1	
	chart	sale	Output VAT	percent	0.07	a_output_vat	a_output_vat	Output Tax Base	Output Tax			1	1	1	1	
